Gal,m,sig_m,V-I,sig_V-I,A,SN,m_b,sig_m_b
M66,26.32,0.03,1.58,0.04,0.050,1989B,10.98,0.12
M96,26.30,0.02,1.62,0.06,0.038,1998bu,11.00,0.12
M101,25.08,0.03,1.27,0.03,0.013,2011fe,9.83,0.1
N1316,27.42,0.05,1.47,0.07,0.033,1980N,11.98,0.1
N1316,27.42,0.05,1.47,0.07,0.033,1981D,11.61,0.23
N1316,27.42,0.05,1.47,0.07,0.033,2006dd,11.92,0.08
N1365,27.43,0.03,1.28,0.04,0.031,2012fr,11.93,0.13
N1404,27.31,0.06,1.35,0.03,0.017,2007on,12.46,0.19
N1404,27.31,0.06,1.35,0.03,0.017,2011iv,11.98,0.15
N1448,27.35,0.04,1.29,0.03,0.021,2001el,12.18,0.09
N4038,27.72,0.13,1.14,0.07,0.071,2007sr,12.30,0.1
N4424,27.05,0.05,1.38,0.02,0.031,2012cg,11.62,0.12
N4526,27.03,0.02,1.36,0.03,0.035,1994D,11.51,0.17
N4536,27.03,0.12,1.27,0.04,0.028,1981B,11.60,0.09
N5643,26.70,0.03,1.30,0.03,0.278,2013aa,11.27,0.14
N5643,26.70,0.03,1.30,0.03,0.278,2017cbv,11.20,0.14
N4258,25.427,0.03,1.32,0.04,0.025,-,99999,99999
