Gal,mB,sig_mB
M101,9.74635,0.11666859046032914
N1015,13.451350000000001,0.12268479938443883
N1309,13.192350000000001,0.11566572526033804
N1365,11.91835,0.12468985524091365
N1448,12.201350000000001,0.11566572526033804
N2442,12.27635,0.1417270616360898
N3021,12.963350000000002,0.11666859046032914
N3370,12.91235,0.11466281001266278
N3447,12.701350000000001,0.12368734777656121
N3972,12.48435,0.11566572526033804
N3982,12.231349999999999,0.11466281001266278
N4038,12.233350000000002,0.11365984339246646
N4424,11.54635,0.10864418990447672
N4536,11.61335,0.12368734777656121
N4639,12.419350000000001,0.11466281001266278
N5584,12.701350000000001,0.11466281001266278
N5917,13.00835,0.11466281001266278
N7250,12.303350000000002,0.11466281001266278
U9391,13.47035,0.11365984339246646
