Gal,logP,mW,sig_mW,M/H,z,V-I
N3021,1.600210306409328,25.60136,0.43,0.1400000000000005,0.00514,1.24
N7250,1.182414652434554,23.75626,0.56,-0.2189999999999994,0.00389,1.59
N2442,1.5322446436265822,22.80362,0.52,-0.0470000000000006,0.0048899999999999,1.83
U9391,1.4522465745204372,24.403460000000003,0.51,0.0890000000000004,0.00638,1.39
N1309,1.6800634274819486,23.33434,0.62,0.0380000000000002,0.00712,1.31
N4639,1.3330440298234871,23.49206,0.4,0.2349999999999994,0.0034,1.29
M101,1.2571984261393443,21.27838,0.4,0.3849999999999998,0.0008,1.17
N3021,1.3138672203691537,26.36382,0.58,0.1059999999999998,0.00514,1.13
N3972,1.2579184503140584,23.86732,0.56,0.3060000000000009,0.00284,1.38
N4038,1.90449915539782,21.52838,0.36,0.2219999999999995,0.00548,1.17
N3982,1.450557009418329,23.32382,0.53,0.096,0.0037,1.13
M101,1.0195316845312554,22.17048,0.41,0.3499999999999996,0.0008,1.32
N1448,1.1925674533365456,25.66928,0.42,0.0600000000000005,0.0039,0.52
N3021,1.2610248339923973,24.664,0.54,0.1479999999999997,0.00514,1.0
N1309,1.6464037262230695,23.58346,0.45,0.0419999999999998,0.00712,1.39
N3370,1.4050046650503694,23.989600000000003,0.38,-0.0419999999999998,0.0042699999999999,1.4
N3370,1.539577883345309,23.49452,0.36,0.1980000000000004,0.0042699999999999,1.18
M101,1.159266331093494,23.48136,0.37,0.3260000000000005,0.0008,1.24
N4639,1.774224904868919,22.2298,0.34,0.2580000000000009,0.0034,0.7
N4639,1.4117880045438689,23.44014,0.45,0.2539999999999995,0.0034,1.01
N1365,1.230704313612569,25.46874,0.44,-0.0280000000000004,0.00545,0.91
N4424,1.561101383649056,22.1817,0.73,0.2699999999999996,0.00146,1.55
N1448,1.31492005599242,23.50804,0.5,0.1069999999999993,0.0039,0.86
N3447,1.4670158184384354,25.29944,0.35,-0.0549999999999997,0.00356,0.96
N1448,1.2612628687924936,23.76366,0.43,-0.0860000000000003,0.0039,0.69
N7250,1.2457593559672768,24.05468,0.4,-0.2189999999999994,0.00389,1.62
M101,1.110589710299249,21.98944,0.46,0.3469999999999995,0.0008,0.96
N3447,1.352761191723831,24.05416,0.47,-0.0730000000000004,0.00356,1.44
N3447,1.3836358683618797,25.53384,0.39,-0.0890000000000004,0.00356,0.56
